trip_id,arrival_time,departure_time,stop_id,stop_sequence
AZAMI_HAG_M_1,6:47:00,6:47:00,AZAMI_S0001,1
AZAMI_HAG_M_1,6:49:00,6:49:00,AZAMI_S0002,2
AZAMI_HAG_M_1,6:50:00,6:50:00,AZAMI_S0003,3
AZAMI_HAG_M_1,6:51:00,6:51:00,AZAMI_S0004,4
AZAMI_HAG_M_1,6:51:00,6:51:00,AZAMI_S0005,5
AZAMI_HAG_M_1,6:52:00,6:52:00,AZAMI_S0006,6
AZAMI_HAG_M_1,6:53:00,6:53:00,AZAMI_S0007,7
AZAMI_HAG_M_1,6:53:00,6:53:00,AZAMI_S0008,8
AZAMI_HAG_M_1,6:54:00,6:54:00,AZAMI_S0009,9
AZAMI_HAG_M_1,6:54:00,6:54:00,AZAMI_S0010,10
AZAMI_HAG_M_1,6:55:00,6:55:00,AZAMI_S0011,11
AZAMI_HAG_M_1,6:56:00,6:56:00,AZAMI_S0012,12
AZAMI_HAG_M_1,6:59:00,6:59:00,AZAMI_S0013,13
AZAMI_HAG_M_1,7:01:00,7:01:00,AZAMI_S0014,14
AZAMI_HAG_M_1,7:02:00,7:02:00,AZAMI_S0015,15
AZAMI_HAG_M_1,7:06:00,7:06:00,AZAMI_S0016,16
AZAMI_HAG_M_1,7:08:00,7:08:00,AZAMI_S0015,17
AZAMI_HAG_M_1,7:09:00,7:09:00,AZAMI_S0014,18
AZAMI_HAG_M_1,7:10:00,7:10:00,AZAMI_S0017,19
AZAMI_HAG_M_1,7:11:00,7:11:00,AZAMI_S0018,20
AZAMI_HAG_M_1,7:12:00,7:12:00,AZAMI_S0019,21
AZAMI_HAG_M_1,7:13:00,7:13:00,AZAMI_S0020,22
AZAMI_HAG_M_1,7:13:00,7:13:00,AZAMI_S0021,23
AZAMI_HAG_M_1,7:16:00,7:16:00,AZAMI_S0022,24
AZAMI_HAG_M_1,7:17:00,7:17:00,AZAMI_S0021,25
AZAMI_HAG_M_1,7:17:00,7:17:00,AZAMI_S0020,26
AZAMI_HAG_M_1,7:18:00,7:18:00,AZAMI_S0019,27
AZAMI_HAG_M_1,7:19:00,7:19:00,AZAMI_S0018,28
AZAMI_HAG_M_1,7:20:00,7:20:00,AZAMI_S0023,29
AZAMI_HAG_M_1,7:21:00,7:21:00,AZAMI_S0011,30
AZAMI_HAG_M_1,7:22:00,7:22:00,AZAMI_S0024,31
AZAMI_HAG_M_1,7:23:00,7:23:00,AZAMI_S0025,32
AZAMI_HAG_M_1,7:24:00,7:24:00,AZAMI_S0026,33
AZAMI_HAG_M_1,7:25:00,7:25:00,AZAMI_S0027,34
AZAMI_HAG_M_1,7:27:00,7:27:00,AZAMI_S0028,35
AZAMI_HAG_M_1,7:28:00,7:28:00,AZAMI_S0029,36
AZAMI_HAG_M_1,7:29:00,7:29:00,AZAMI_S0030,37
AZAMI_HAG_M_1,7:30:00,7:30:00,AZAMI_S0031,38
AZAMI_HAG_M_1,7:30:00,7:30:00,AZAMI_S0032,39
AZAMI_HAG_M_1,7:31:00,7:31:00,AZAMI_S0033,40
AZAMI_HAG_M_1,7:32:00,7:32:00,AZAMI_S0034,41
AZAMI_HAG_M_1,7:41:00,7:41:00,AZAMI_S0001,42
AZAMI_HAG_M_2,8:45:00,8:45:00,AZAMI_S0001,1
AZAMI_HAG_M_2,8:47:00,8:47:00,AZAMI_S0002,2
AZAMI_HAG_M_2,8:48:00,8:48:00,AZAMI_S0003,3
AZAMI_HAG_M_2,8:49:00,8:49:00,AZAMI_S0004,4
AZAMI_HAG_M_2,8:49:00,8:49:00,AZAMI_S0005,5
AZAMI_HAG_M_2,8:50:00,8:50:00,AZAMI_S0006,6
AZAMI_HAG_M_2,8:51:00,8:51:00,AZAMI_S0007,7
AZAMI_HAG_M_2,8:51:00,8:51:00,AZAMI_S0008,8
AZAMI_HAG_M_2,8:52:00,8:52:00,AZAMI_S0009,9
AZAMI_HAG_M_2,8:52:00,8:52:00,AZAMI_S0010,10
AZAMI_HAG_M_2,8:53:00,8:53:00,AZAMI_S0011,11
AZAMI_HAG_M_2,8:54:00,8:54:00,AZAMI_S0012,12
AZAMI_HAG_M_2,8:57:00,8:57:00,AZAMI_S0013,13
AZAMI_HAG_M_2,9:00:00,9:00:00,AZAMI_S0017,14
AZAMI_HAG_M_2,9:01:00,9:01:00,AZAMI_S0018,15
AZAMI_HAG_M_2,9:02:00,9:02:00,AZAMI_S0019,16
AZAMI_HAG_M_2,9:03:00,9:03:00,AZAMI_S0020,17
AZAMI_HAG_M_2,9:03:00,9:03:00,AZAMI_S0021,18
AZAMI_HAG_M_2,9:06:00,9:06:00,AZAMI_S0022,19
AZAMI_HAG_M_2,9:07:00,9:07:00,AZAMI_S0021,20
AZAMI_HAG_M_2,9:07:00,9:07:00,AZAMI_S0020,21
AZAMI_HAG_M_2,9:08:00,9:08:00,AZAMI_S0019,22
AZAMI_HAG_M_2,9:09:00,9:09:00,AZAMI_S0018,23
AZAMI_HAG_M_2,9:10:00,9:10:00,AZAMI_S0023,24
AZAMI_HAG_M_2,9:11:00,9:11:00,AZAMI_S0011,25
AZAMI_HAG_M_2,9:12:00,9:12:00,AZAMI_S0024,26
AZAMI_HAG_M_2,9:13:00,9:13:00,AZAMI_S0025,27
AZAMI_HAG_M_2,9:14:00,9:14:00,AZAMI_S0026,28
AZAMI_HAG_M_2,9:15:00,9:15:00,AZAMI_S0027,29
AZAMI_HAG_M_2,9:17:00,9:17:00,AZAMI_S0028,30
AZAMI_HAG_M_2,9:18:00,9:18:00,AZAMI_S0029,31
AZAMI_HAG_M_2,9:19:00,9:19:00,AZAMI_S0030,32
AZAMI_HAG_M_2,9:20:00,9:20:00,AZAMI_S0031,33
AZAMI_HAG_M_2,9:20:00,9:20:00,AZAMI_S0032,34
AZAMI_HAG_M_2,9:21:00,9:21:00,AZAMI_S0033,35
AZAMI_HAG_M_2,9:22:00,9:22:00,AZAMI_S0034,36
AZAMI_HAG_M_2,9:26:00,9:26:00,AZAMI_S0001,37
AZAMI_HAG_M_4,10:50:00,10:50:00,AZAMI_S0001,1
AZAMI_HAG_M_4,10:52:00,10:52:00,AZAMI_S0002,2
AZAMI_HAG_M_4,10:53:00,10:53:00,AZAMI_S0003,3
AZAMI_HAG_M_4,10:54:00,10:54:00,AZAMI_S0004,4
AZAMI_HAG_M_4,10:54:00,10:54:00,AZAMI_S0005,5
AZAMI_HAG_M_4,10:55:00,10:55:00,AZAMI_S0006,6
AZAMI_HAG_M_4,10:56:00,10:56:00,AZAMI_S0007,7
AZAMI_HAG_M_4,10:56:00,10:56:00,AZAMI_S0008,8
