place_id,名称,おやつ向き,サブカテゴリ,観光向き,買い物向き,雨の日向き,子ども向き,高齢者向き,一人向き,短時間立寄り向き,最短滞在時間_分,最大滞在時間_分,おすすめ時間帯,季節性,屋内外,景観・写真向き,静かに過ごせる,徒歩アクセス難易度,坂道,段差,車椅子対応,ベビーカー対応,エレベーター,座れる場所,日陰・屋根,最寄りバス停,最寄りバス停距離_m,交通ハブ,駐車場,駐輪場,トイレ,多目的トイレ,授乳・おむつ交換,飲料購入,休憩ベンチ,AED,料理ジャンル,提供メニュータグ,テイクアウト,席あり,家族利用向き,予約必要,祝日営業メモ,最終入場時刻,ラストオーダー,コインロッカー,観光案内,情報源_web,web確認日,web確認ステータス,推定項目,推定確信度,メモ
L001,下諏訪町役場,,行政・公共施設,no,unknown,yes,yes,yes,unknown,yes,20,60,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,,,,unknown,unknown,https://www.town.shimosuwa.lg.jp/,2026-08-27,下諏訪町公式情報確認,高齢者向き;子ども向き,medium,行政目的のPlace。観光候補からは除外する。
L003,諏訪大社 下社秋宮,,神社・観光名所,yes,unknown,no,yes,yes,unknown,yes,20,60,,通年,outdoor,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,yes,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,,,,unknown,unknown,https://shimosuwaonsen.jp/tourism/444/,2026-08-27,下諏訪観光公式確認,子ども向き;高齢者向き;雨の日向き,medium,
L004,諏訪大社 下社春宮,,神社・観光名所,yes,unknown,no,yes,yes,unknown,yes,20,60,,通年,outdoor,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,yes,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,,,,unknown,unknown,https://shimosuwaonsen.jp/tourism/443/,2026-08-27,下諏訪観光公式確認,子ども向き;高齢者向き;雨の日向き,medium,
L005,万治の石仏,,史跡・観光名所,yes,unknown,no,unknown,unknown,unknown,yes,15,30,,通年,outdoor,yes,unknown,normal,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,,,,unknown,unknown,https://shimosuwaonsen.jp/tourism/466/,2026-08-27,下諏訪観光公式確認,雨の日向き;徒歩アクセス難易度,medium,春宮から徒歩約5分の案内。
L006,赤砂崎公園,,公園,yes,unknown,no,yes,yes,unknown,yes,20,90,,通年,outdoor,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,,,unknown,unknown,unknown,unknown,,,,unknown,unknown,https://shimosuwaonsen.jp/tourism/449/;https://shimosuwaonsen.jp/tourism/448/,2026-08-27,下諏訪観光公式確認,高齢者向き;休憩ベンチ;雨の日向き,medium,湖畔散策・休憩向き。大規模駐車場の案内あり。
L007,あすなろ公園,,公園,yes,unknown,no,yes,unknown,unknown,yes,20,60,,通年,outdoor,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,,,,unknown,unknown,https://www.town.shimosuwa.lg.jp/www/contents/1001000000945/files/odekakemap.pdf,2026-08-27,下諏訪町公式資料確認,雨の日向き,medium,大型複合遊具。図書館隣接。
L008,水月公園,,公園・景勝地,yes,unknown,no,yes,unknown,unknown,yes,30,60,,春（桜）・通年散策,outdoor,yes,unknown,normal,mild,unknown,unknown,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,,,,unknown,unknown,https://www.town.shimosuwa.lg.jp/www/contents/1001000000615/index.html,2026-08-27,下諏訪町公式確認,子ども向き;雨の日向き;徒歩アクセス難易度;坂道,medium,高台から諏訪盆地を一望。桜の名所。
L009,いずみ湖公園,,公園・自然,yes,unknown,no,yes,unknown,unknown,yes,30,120,,春〜秋中心・通年自然,outdoor,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,,,,unknown,unknown,https://shimosuwaonsen.jp/tourism/2361/,2026-08-27,下諏訪観光公式確認,雨の日向き,medium,人工湖と森林。周辺にスポーツ・キャンプ等。
L010,下諏訪温泉 旦過の湯,,温泉,yes,unknown,yes,unknown,unknown,unknown,no,30,60,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,no,,21:30,,unknown,unknown,https://shimosuwaonsen.jp/spa/5044/,2026-08-27,下諏訪観光公式確認,観光向き;屋内外;雨の日向き;景観・写真向き;短時間立寄り向き,medium,5:30-22:00。休憩室・食事処なしの案内。
L011,下諏訪温泉 新湯,,温泉,yes,unknown,yes,unknown,unknown,unknown,no,30,60,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,no,,19:30,,unknown,unknown,https://shimosuwaonsen.jp/spa/1037/,2026-08-27,下諏訪観光公式確認,観光向き;屋内外;雨の日向き;景観・写真向き;短時間立寄り向き,medium,2025-09-08以降「当面」9:00-20:00（最終19:30）の臨時営業時間案内を優先。通常時間と異なる可能性。
L012,菅野温泉,,温泉,yes,unknown,yes,unknown,unknown,unknown,no,30,60,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,有料町営駐車場,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,no,,21:30,,unknown,unknown,https://shimosuwaonsen.jp/spa/1035/,2026-08-27,下諏訪観光公式確認,観光向き;屋内外;雨の日向き;景観・写真向き;短時間立寄り向き,medium,6:00-22:00の公式案内。四ツ角駐車場利用。
L013,遊泉ハウス児湯,,温泉,yes,unknown,yes,unknown,unknown,unknown,no,30,60,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,,,no,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,,,unknown,unknown,unknown,no,,21:30,,unknown,unknown,https://shimosuwaonsen.jp/spa/1040/,2026-08-27,下諏訪観光公式＋地図情報確認,観光向き;屋内外;雨の日向き;景観・写真向き;短時間立寄り向き,medium,5:30-22:00。別料金の休憩所あり。露天風呂あり。駐車場あり。
L014,諏訪湖博物館・赤彦記念館,,博物館,yes,unknown,yes,yes,yes,unknown,no,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,諏訪湖博物館・赤彦記念館,約1分徒歩,no,yes,unknown,yes,yes,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,,16:30,,unknown,unknown,https://www.town.shimosuwa.lg.jp/www/contents/1001000000784/index.html;https://www.google.com/maps/search/?api=1&query=諏訪湖博物館%20赤彦記念館,2026-08-27,2026-08下諏訪町公式＋地図情報確認,子ども向き;高齢者向き,medium,9:00-17:00、月曜・祝日の翌日・年末年始休。駐車場30台。
L015,ハーモ美術館,,美術館,yes,unknown,yes,yes,unknown,unknown,no,45,90,,通年,indoor,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,ハーモ美術館前,,no,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,,,unknown,unknown,unknown,unknown,,,,unknown,unknown,https://www.harmo-museum.jp/guide/guide.html;https://www.harmo-museum.jp/guide/access.html,2026-08-27,美術館公式確認,静かに過ごせる,medium,9:00-17:00年中無休（展示替え臨時休館あり）。ショップ・カフェは入館料不要。隣接みずべ公園駐車場。
L016,ニデックオルゴール記念館 すわのね,,博物館・体験,yes,unknown,yes,yes,yes,unknown,no,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes,yes,unknown,,,no,unknown,unknown,unknown,yes,unknown,yes,unknown,unknown,,,unknown,unknown,unknown,no,,16:30,,unknown,unknown,https://suwanone.jp/faq;https://suwanone.jp/,2026-08-27,施設公式確認,子ども向き;高齢者向き;座れる場所,medium,9:00-17:00、月曜休（祝日の場合翌火曜）。入口スロープ・多目的トイレ・エレベーターあり。個人の組立体験は当日受付。
