place_id,名称,おやつ向き,サブカテゴリ,観光向き,買い物向き,雨の日向き,子ども向き,高齢者向き,一人向き,短時間立寄り向き,最短滞在時間_分,最大滞在時間_分,おすすめ時間帯,季節性,屋内外,景観・写真向き,静かに過ごせる,徒歩アクセス難易度,坂道,段差,車椅子対応,ベビーカー対応,エレベーター,座れる場所,日陰・屋根,最寄りバス停,最寄りバス停距離_m,交通ハブ,駐車場,駐輪場,トイレ,多目的トイレ,授乳・おむつ交換,飲料購入,休憩ベンチ,AED,料理ジャンル,提供メニュータグ,テイクアウト,席あり,家族利用向き,予約必要,祝日営業メモ,最終入場時刻,ラストオーダー,コインロッカー,観光案内,情報源_web,web確認日,web確認ステータス,推定項目,推定確信度,メモ
R018,キャナリィ・ロウ 諏訪湖畔店,yes,イタリア料理,no,unknown,yes,yes,unknown,unknown,unknown,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,イタリア料理,イタリア料理・ケーキ・ドリンク,unknown,yes,yes,unknown,,,,unknown,unknown,https://suwa-tourism.jp/archives/001806.php;https://tabelog.com/nagano/A2004/A200404/20002481/,2026-08-27,諏訪観光＋店舗情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,駐車場60台。15-17時カフェ帯の掲載あり。
R019,萬馬軒,,ラーメン,no,unknown,yes,unknown,unknown,yes,yes,30,45,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,ラーメン,ラーメン,unknown,yes,unknown,unknown,,,,unknown,unknown,https://tabelog.com/nagano/A2004/A200404/20002507/;https://www.suwa-tourism.jp/archives/001369.php,2026-08-27,複数公開情報確認・時間差異あり,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,営業時間に複数情報あり。最新の現地確認が必要。
R020,蕎麦屋 みのり 秋宮前,,そば,no,unknown,yes,unknown,unknown,unknown,yes,30,45,,通年,indoor,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,そば,そば,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=蕎麦屋%20みのり%20秋宮前,2026-08-27,地図公開情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,
R021,栄寿司,,寿司,no,unknown,yes,unknown,unknown,unknown,unknown,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,寿司,寿司,yes,yes,unknown,unknown,月曜が祝日の場合は営業の案内あり,,,unknown,unknown,https://page.line.me/gwr3409a;https://tabelog.com/nagano/A2004/A200404/20010455/,2026-08-27,公式LINE＋店舗情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,42席・駐車場ありの掲載。
R022,宝華,,中華料理,no,unknown,yes,unknown,unknown,unknown,yes,30,45,,通年,indoor,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,中華料理,中華料理,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=宝華%20下諏訪町,2026-08-27,地図公開情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,
R023,やきとり とり志(とりじ),,焼き鳥,no,unknown,yes,unknown,unknown,yes,unknown,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,,,no,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,焼き鳥,焼き鳥,yes,yes,unknown,yes,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=やきとり%20とり志%20下諏訪町,2026-08-27,地図公開情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,
R024,サンコーパン,,ベーカリー,no,yes,yes,unknown,unknown,unknown,yes,30,45,,通年,indoor,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,ベーカリー,パン,yes,unknown,unknown,unknown,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=サンコーパン%20下諏訪町,2026-08-27,地図公開情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,
R025,たむたむ,yes,カフェ,no,unknown,yes,unknown,unknown,yes,yes,30,60,,通年,indoor,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,カフェ,コーヒー・デザート・朝食・軽食,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=たむたむ%20下諏訪町,2026-08-27,地図公開情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,8:30-18:00（水曜14:30まで）の公開情報。朝食・ブランチ・ランチ・デザート利用可。
R026,ステーキハウス カナディアンロッキー 諏訪湖畔店,,ステーキ,no,unknown,yes,yes,unknown,unknown,unknown,45,90,,通年,indoor,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,ステーキ,ステーキ,unknown,yes,yes,unknown,,,,unknown,unknown,https://www.suwa-tourism.jp/archives/000638.php,2026-08-27,諏訪観光公式確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,諏訪湖畔、駐車場50台。
R027,居酒屋あずさ,,居酒屋,no,unknown,yes,unknown,unknown,unknown,unknown,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,居酒屋,酒・つまみ,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=居酒屋あずさ%20下諏訪町,2026-08-27,地図公開情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,
R028,チャボ食堂,,定食・食堂,no,unknown,yes,unknown,unknown,yes,unknown,30,45,,通年,indoor,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,定食・食堂,定食,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=チャボ食堂%20下諏訪町,2026-08-27,地図公開情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,
R029,東寿司,,寿司,no,unknown,yes,unknown,unknown,unknown,unknown,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,寿司,寿司,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.suwa-tourism.jp/archives/000645.php;https://tabelog.com/nagano/A2004/A200404/20004471/,2026-08-27,諏訪観光＋店舗情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,夜営業の終了時刻に公開情報差異あり（22時/23時）。
R030,六福源,,中華料理,no,unknown,yes,unknown,unknown,yes,yes,30,45,,通年,indoor,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,中華料理,中華料理,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=六福源%20下諏訪町,2026-08-27,地図公開情報確認・営業時間要再確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,公開地図では昼営業の表示もあり、現CSVの11:00-24:00は再確認が必要。
R031,地酒 炭火焼鳥 佳肴あり井,,和食・焼鳥,no,unknown,yes,unknown,unknown,unknown,unknown,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,和食・焼鳥,和食・焼鳥,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=地酒%20炭火焼鳥%20佳肴あり井%20下諏訪町,2026-08-27,地図公開情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,
R032,竹園,,軽食,no,unknown,yes,unknown,unknown,unknown,yes,30,45,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,軽食,軽食,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=竹園%20下諏訪町%20塚田町,2026-08-27,基本地図情報のみ・追加確認必要,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,営業時間等の一次情報を確認できず。
R033,pain moji (パンモジ),,ベーカリー,no,yes,yes,unknown,unknown,unknown,yes,30,45,,通年,indoor,unknown,yes,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,ベーカリー,パン,yes,yes,unknown,unknown,,,,unknown,unknown,https://tabelog.com/nagano/A2004/A200404/20021841/;https://www.google.com/maps/search/?api=1&query=pain%20moji%20下諏訪,2026-08-27,店舗情報＋地図公開情報確認・営業日差異あり,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,営業曜日/時間に公開情報差異があるため、公式SNS等で要確認。
