place_id,種別,名称,カテゴリ,住所,latitude,longitude,座標ステータス,座標情報源,営業日,営業時間,定休日,休憩向き,体験・できること,推奨滞在時間_分,Googleマップ検索URL,情報源,情報取得日,確認ステータス,24時間,家族向き,雨天向き,屋内外,トイレあり,トイレ一般利用,多目的トイレ,自転車貸出,トイレ利用条件
UT001,生活サービス,トイレ利用ポイント（木の下3556）,トイレ利用ポイント,〒393-0000 長野県諏訪郡下諏訪町木の下3556,,,ユーザー確認住所,ユーザー提供住所,毎日,,,,トイレを利用する,5-10,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA%E6%9C%A8%E3%81%AE%E4%B8%8B3556,ユーザー利用確認,2026-08-26,ユーザー利用確認済,要確認,○,○,屋内,○,○,要確認,×,一般利用可・利用時間要確認
UT002,生活サービス,トイレ利用ポイント（5524-4）,トイレ利用ポイント,〒393-0000 長野県諏訪郡下諏訪町5524-4,,,ユーザー確認住所,ユーザー提供住所,毎日,,,,トイレを利用する,5-10,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA5524-4,ユーザー利用確認,2026-08-26,ユーザー利用確認済,要確認,○,○,屋内,○,○,要確認,×,一般利用可・利用時間要確認
UT003,生活サービス,トイレ利用ポイント（確認座標01）,トイレ利用ポイント,,36.075749790126196,138.0868461533162,ユーザー確認座標,Google Maps右クリック座標,毎日,,,,トイレを利用する,5-10,,ユーザー利用確認,2026-08-26,ユーザー利用確認済,要確認,○,○,屋内,○,○,要確認,×,一般利用可・利用時間要確認
UT004,生活サービス,トイレ利用ポイント（南四王6150-21）,トイレ利用ポイント,〒393-0045 長野県諏訪郡下諏訪町南四王6150-21,,,ユーザー確認住所,ユーザー提供住所,毎日,,,,トイレを利用する,5-10,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA%E5%8D%97%E5%9B%9B%E7%8E%8B6150-21,ユーザー利用確認,2026-08-26,ユーザー利用確認済,要確認,○,○,屋内,○,○,要確認,×,一般利用可・利用時間要確認
UT005,生活サービス,トイレ利用ポイント（高浜6190-2）,トイレ利用ポイント,〒393-0034 長野県諏訪郡下諏訪町高浜6190-2,,,ユーザー確認住所,ユーザー提供住所,毎日,,,,トイレを利用する,5-10,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA%E9%AB%98%E6%B5%9C6190-2,ユーザー利用確認,2026-08-26,ユーザー利用確認済,要確認,○,○,屋内,○,○,要確認,×,一般利用可・利用時間要確認
UT006,生活サービス,トイレ利用ポイント（確認座標02）,トイレ利用ポイント,,36.068394149543224,138.09692996960393,ユーザー確認座標,Google Maps右クリック座標,毎日,,,,トイレを利用する,5-10,,ユーザー利用確認,2026-08-26,ユーザー利用確認済,要確認,○,○,屋内,○,○,要確認,×,一般利用可・利用時間要確認
UT007,生活サービス,ツルハドラッグ周辺 利用可能トイレ,店舗内トイレ,〒393-0000 長野県諏訪郡下諏訪町6284-1,,,ユーザー確認住所,ユーザー提供住所,毎日,店舗営業時間内,,,トイレを利用する,5-10,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA6284-1%20%E3%83%84%E3%83%AB%E3%83%8F%E3%83%89%E3%83%A9%E3%83%83%E3%82%B0,ユーザー利用確認,2026-08-26,ユーザー利用確認済,×,○,○,屋内,○,○,要確認,×,ツルハドラッグ営業時間内のみ
UT008,生活サービス,トイレ利用ポイント（西高木）,トイレ利用ポイント,〒393-0033 長野県諏訪郡下諏訪町西高木,,,ユーザー確認住所,ユーザー提供住所,毎日,,,,トイレを利用する,5-10,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA%E8%A5%BF%E9%AB%98%E6%9C%A8,ユーザー利用確認,2026-08-26,ユーザー利用確認済,要確認,○,○,屋内,○,○,要確認,×,一般利用可
UT009,生活サービス,トイレ利用ポイント（確認座標03）,トイレ利用ポイント,,36.07534851542226,138.09789288038934,ユーザー確認座標,Google Maps右クリック座標,毎日,,,,トイレを利用する,5-10,,ユーザー利用確認,2026-08-26,ユーザー利用確認済,要確認,○,○,屋内,○,○,要確認,×,一般利用可・利用時間要確認
UT010,生活サービス,トイレ利用ポイント（確認座標04）,トイレ利用ポイント,,36.068571040903656,138.08017310291214,ユーザー確認座標,Google Maps右クリック座標,毎日,,,,トイレを利用する,5-10,,ユーザー利用確認,2026-08-26,ユーザー利用確認済,要確認,○,○,屋内,○,○,要確認,×,一般利用可・利用時間要確認
